,State,District,Tehsil,Pincode,Village,Status,SD Code,SD Name,SD_latitude,SD_longitude
42,Punjab,S.A.S. Nagar,Kharar,140413,Gharuan,Vacant,100095,B R HEALTH PRODUCTS,30.77807,76.55351
43,Punjab,S.A.S. Nagar,Kharar,140901,Parol,Vacant,100095,B R HEALTH PRODUCTS,30.74949,76.64166
44,Punjab,S.A.S. Nagar,Kharar,140901,Mullanpur,Vacant,100095,B R HEALTH PRODUCTS,30.81784,76.74519
45,Punjab,S.A.S. Nagar,Kharar,140103,Sotal,Vacant,100095,B R HEALTH PRODUCTS,30.74949,76.64166
46,Punjab,S.A.S. Nagar,Kharar,140103,Kurali,Vacant,100095,B R HEALTH PRODUCTS,30.83081,76.58014
47,Punjab,S.A.S. Nagar,Kharar,140110,Siswan,Vacant,100095,B R HEALTH PRODUCTS,30.85924,76.72424
48,Punjab,S.A.S. Nagar,Kharar,140109,Khizrabad West,Vacant,100095,B R HEALTH PRODUCTS,30.88023,76.65795
49,Punjab,S.A.S. Nagar,Kharar,140109,Kubaheri,Vacant,100095,B R HEALTH PRODUCTS,30.86718,76.65219
50,Punjab,S.A.S. Nagar,Kharar,140307,Majatri,Vacant,100095,B R HEALTH PRODUCTS,30.61976,76.69188
51,Punjab,S.A.S. Nagar,Kharar,140307, Landran,Vacant,100095,B R HEALTH PRODUCTS,30.69332,76.66356
52,Punjab,S.A.S. Nagar,Kharar,160014,"Tira, Togan (17)",Vacant,100095,B R HEALTH PRODUCTS,30.75999,76.70649
53,Punjab,S.A.S. Nagar,Kharar,160014,Dhanas,Vacant,100095,B R HEALTH PRODUCTS,30.77033,76.74297
54,Punjab,S.A.S. Nagar,Kharar,160014, Sarangpur,Vacant,100095,B R HEALTH PRODUCTS,30.61976,76.69188
